vo_modele_id,segment_name,segment_class
1,MOYEN PETIT,PETIT
2,MOYEN PETIT,PETIT
3,MOYEN PETIT,PETIT
4,MOYEN,GRAND
5,MOYEN,GRAND
7,MOYEN GRAND,GRAND
8,SPORTIVE,SPORT
9,SPORTIVE,SPORT
10,SPORTIVE,SPORT
13,MINI MONOSPACE,PETIT
14,MOYEN PETIT,PETIT
15,MOYEN,GRAND
16,MOYEN GRAND,GRAND
17,GRAND,GRAND
18,GRAND SUV,GRAND
19,MOYEN PETIT,PETIT
20,MOYEN,GRAND
21,MOYEN GRAND,GRAND
22,SPORTIVE,SPORT
23,SPORTIVE,SPORT
24,MOYEN GRAND,GRAND
25,MOYEN PETIT,PETIT
26,MOYEN,GRAND
27,MOYEN GRAND,GRAND
28,SPORTIVE,SPORT
29,GRAND,GRAND
30,SPORTIVE,SPORT
31,SPORTIVE,SPORT
32,SPORTIVE,SPORT
33,SPORTIVE,SPORT
34,GRAND MONOSPCE,GRAND
35,MOYEN PETIT,PETIT
36,MOYEN GRAND,GRAND
37,GRAND MONOSPCE,GRAND
39,MINI,PETIT
40,MINI MONOSPACE,PETIT
42,MINI MONOSPACE,PETIT
43,PETIT,PETIT
44,PETIT,PETIT
45,MOYEN PETIT,PETIT
46,MOYEN,GRAND
47,GRAND MONOSPCE,GRAND
50,GRAND MONOSPCE,GRAND
51,GRAND MONOSPCE,GRAND
52,GRAND MONOSPCE,GRAND
53,MINI MONOSPACE,PETIT
54,PETIT,PETIT
56,MOYEN,GRAND
57,MOYEN GRAND,GRAND
58,MOYEN PETIT,PETIT
59,MOYEN PETIT,PETIT
60,MOYEN PETIT,PETIT
61,MINI,PETIT
62,MOYEN PETIT,PETIT
63,MOYEN,GRAND
64,MINI MONOSPACE,PETIT
65,MINI SUV,PETIT
66,SPORT,SPORT
67,SPORTIVE,SPORT
68,MOYEN PETIT,PETIT
69,MOYEN PETIT,PETIT
70,MINI,PETIT
71,SPORTIVE,SPORT
72,MOYEN,GRAND
73,MINI MONOSPACE,PETIT
74,GRAND MONOSPCE,GRAND
75,MINI MONOSPACE,PETIT
76,MOYEN PETIT,PETIT
77,MINI MONOSPACE,PETIT
78,PETIT,PETIT
79,MINI,PETIT
80,PETIT,PETIT
81,GRAND MONOSPCE,GRAND
82,MINI,PETIT
83,MOYEN PETIT,PETIT
84,MOYEN PETIT,PETIT
85,MOYEN PETIT,PETIT
86,GRAND MONOSPCE,GRAND
87,PETIT,PETIT
88,MINI MONOSPACE,PETIT
89,SPORTIVE,SPORT
90,MINI MONOSPACE,PETIT
91,MOYEN PETIT,PETIT
92,GRAND SUV,GRAND
93,PETIT,PETIT
94,MOYEN PETIT,PETIT
95,MINI MONOSPACE,PETIT
96,GRAND MONOSPCE,GRAND
97,MINI,PETIT
98,SPORTIVE,SPORT
99,MOYEN,GRAND
100,SPORTIVE,SPORT
102,SPORTIVE,SPORT
103,SPORTIVE,SPORT
104,MOYEN GRAND,GRAND
107,GRAND MONOSPCE,GRAND
108,MOYEN,GRAND
109,MOYEN PETIT,PETIT
110,MOYEN PETIT,PETIT
111,MOYEN PETIT,PETIT
113,MINI MONOSPACE,PETIT
114,SPORTIVE,SPORT
115,SPORTIVE,SPORT
116,MOYEN PETIT,PETIT
117,MINI,PETIT
118,SPORTIVE,SPORT
119,MOYEN,GRAND
120,MINI SUV,PETIT
121,PETIT,PETIT
122,MINI MONOSPACE,PETIT
123,PETIT,PETIT
124,GRAND SUV,GRAND
126,GRAND SUV,GRAND
127,MINI MONOSPACE,PETIT
128,MINI SUV,PETIT
129,MINI SUV,PETIT
130,GRAND MONOSPCE,GRAND
132,LUXE,SPORT
134,GRAND,GRAND
135,GRAND,GRAND
136,SPORTIVE,SPORT
137,SPORTIVE,SPORT
138,GRAND SUV,GRAND
139,GRAND SUV,GRAND
140,MINI MONOSPACE,PETIT
141,GRAND MONOSPCE,GRAND
142,MINI,PETIT
143,GRAND SUV,GRAND
144,MINI SUV,PETIT
145,MINI SUV,PETIT
146,MOYEN PETIT,PETIT
147,MOYEN GRAND,GRAND
148,MOYEN,GRAND
149,MINI MONOSPACE,PETIT
150,GRAND MONOSPCE,GRAND
151,PETIT,PETIT
152,PETIT,PETIT
153,GRAND SUV,GRAND
154,GRAND SUV,GRAND
155,MINI SUV,PETIT
156,GRAND SUV,GRAND
157,GRAND SUV,GRAND
159,MOYEN PETIT,PETIT
160,MOYEN,GRAND
161,MOYEN PETIT,PETIT
162,SPORTIVE,SPORT
163,SPORTIVE,SPORT
164,SPORTIVE,SPORT
165,MINI MONOSPACE,PETIT
166,SPORTIVE,SPORT
168,MOYEN PETIT,PETIT
169,MINI MONOSPACE,PETIT
170,MOYEN,GRAND
171,GRAND,GRAND
172,MOYEN,GRAND
173,MOYEN GRAND,GRAND
174,MOYEN GRAND,GRAND
175,GRAND SUV,GRAND
176,GRAND SUV,GRAND
178,GRAND,GRAND
179,SPORT,SPORT
180,SPORTIVE,SPORT
181,GRAND MONOSPCE,GRAND
182,GRAND MONOSPCE,GRAND
183,MINI MONOSPACE,PETIT
184,GRAND MONOSPCE,GRAND
185,PETIT,PETIT
187,PETIT,PETIT
188,SPORTIVE,SPORT
189,MOYEN,GRAND
190,MOYEN PETIT,PETIT
191,GRAND SUV,GRAND
192,MOYEN,GRAND
194,GRAND SUV,GRAND
195,PETIT,PETIT
195,MINI MONOSPACE,PETIT
196,SPORTIVE,SPORT
197,MOYEN PETIT,PETIT
198,PETIT,PETIT
199,GRAND SUV,GRAND
200,GRAND SUV,GRAND
201,GRAND SUV,GRAND
202,MOYEN,GRAND
203,MINI MONOSPACE,PETIT
204,MOYEN PETIT,PETIT
205,GRAND SUV,GRAND
207,MINI SUV,PETIT
208,MINI,PETIT
209,MOYEN PETIT,PETIT
210,SPORTIVE,SPORT
211,MINI MONOSPACE,PETIT
212,PETIT,PETIT
213,GRAND SUV,GRAND
215,MINI MONOSPACE,PETIT
216,GRAND MONOSPCE,GRAND
217,MOYEN GRAND,GRAND
218,MOYEN,GRAND
219,PETIT,PETIT
220,MOYEN,GRAND
221,GRAND MONOSPCE,GRAND
222,MINI MONOSPACE,PETIT
224,MINI,PETIT
225,MINI,PETIT
226,PETIT,PETIT
227,PETIT,PETIT
229,MOYEN PETIT,PETIT
230,MOYEN PETIT,PETIT
233,MOYEN,GRAND
234,MOYEN,GRAND
236,MOYEN GRAND,GRAND
237,MOYEN GRAND,GRAND
238,GRAND MONOSPCE,GRAND
239,GRAND MONOSPCE,GRAND
240,MINI MONOSPACE,PETIT
241,GRAND MONOSPCE,GRAND
242,GRAND MONOSPCE,GRAND
243,MINI MONOSPACE,PETIT
244,SPORT,SPORT
247,SPORT,SPORT
248,GRAND SUV,GRAND
249,MINI MONOSPACE,PETIT
250,PETIT,PETIT
251,GRAND MONOSPCE,GRAND
252,MINI MONOSPACE,PETIT
253,MINI MONOSPACE,PETIT
254,MOYEN,GRAND
255,GRAND MONOSPCE,GRAND
256,MOYEN PETIT,PETIT
257,MINI MONOSPACE,PETIT
265,MOYEN GRAND,GRAND
266,MINI MONOSPACE,PETIT
268,GRAND MONOSPCE,GRAND
269,MINI,PETIT
270,MOYEN GRAND,GRAND
271,PETIT,PETIT
272,MOYEN,GRAND
273,MOYEN GRAND,GRAND
281,MINI,PETIT
283,MOYEN,GRAND
284,MOYEN,GRAND
285,MOYEN GRAND,GRAND
286,GRAND MONOSPCE,GRAND
287,MINI MONOSPACE,PETIT
288,MINI,PETIT
289,PETIT,PETIT
290,PETIT,PETIT
291,MOYEN PETIT,PETIT
292,MINI,PETIT
293,MOYEN PETIT,PETIT
294,PETIT,PETIT
295,PETIT,PETIT
296,MOYEN PETIT,PETIT
297,MOYEN GRAND,GRAND
298,PETIT,PETIT
299,MINI,PETIT
300,SPORTIVE,SPORT
301,GRAND SUV,GRAND
302,GRAND SUV,GRAND
303,MINI SUV,PETIT
304,MOYEN PETIT,PETIT
305,MOYEN,GRAND
306,MINI,PETIT
307,PETIT,PETIT
308,MINI SUV,PETIT
309,MINI MONOSPACE,PETIT
310,MINI SUV,PETIT
311,MINI SUV,PETIT
312,PETIT,PETIT
313,MINI SUV,PETIT
314,MINI MONOSPACE,PETIT
315,MOYEN,GRAND
316,MINI,PETIT
317,MOYEN PETIT,PETIT
318,SPORTIVE,SPORT
319,MOYEN PETIT,PETIT
320,MINI MONOSPACE,PETIT
321,GRAND SUV,GRAND
322,SPORTIVE,SPORT
323,MINI MONOSPACE,PETIT
324,GRAND MONOSPCE,GRAND
325,MOYEN PETIT,PETIT
326,MINI SUV,PETIT
328,PETIT,PETIT
330,MOYEN PETIT,PETIT
331,MINI MONOSPACE,PETIT
334,PETIT,PETIT
335,MOYEN PETIT,PETIT
336,MOYEN PETIT,PETIT
337,GRAND MONOSPCE,GRAND
338,MINI,PETIT
339,GRAND MONOSPCE,GRAND
340,MOYEN GRAND,GRAND
341,GRAND,GRAND
342,PETIT,PETIT
343,GRAND MONOSPCE,GRAND
344,GRAND SUV,GRAND
345,MINI MONOSPACE,PETIT
346,GRAND MONOSPCE,GRAND
347,MOYEN PETIT,PETIT
352,SPORTIVE,SPORT
353,MOYEN,GRAND
354,MOYEN,GRAND
355,MOYEN GRAND,GRAND
356,MOYEN PETIT,PETIT
357,MOYEN,GRAND
358,MOYEN GRAND,GRAND
359,MOYEN GRAND,GRAND
360,GRAND SUV,GRAND
362,GRAND SUV,GRAND
363,GRAND SUV,GRAND
364,MINI MONOSPACE,PETIT
365,GRAND MONOSPCE,GRAND
368,MOYEN GRAND,GRAND
369,GRAND MONOSPCE,GRAND
370,GRAND SUV,GRAND
371,GRAND SUV,GRAND
372,MINI MONOSPACE,PETIT
373,MINI MONOSPACE,PETIT
374,GRAND SUV,GRAND
375,GRAND MONOSPCE,GRAND
380,PETIT,PETIT
382,MOYEN,GRAND
383,PETIT,PETIT
384,PETIT,PETIT
385,PETIT,PETIT
386,GRAND SUV,GRAND
387,MINI SUV,PETIT
389,MOYEN PETIT,PETIT
390,MOYEN,GRAND
391,MOYEN PETIT,PETIT
394,MOYEN GRAND,GRAND
395,MOYEN GRAND,GRAND
396,MINI MONOSPACE,PETIT
398,SPORTIVE,SPORT
400,GRAND,GRAND
401,MINI,PETIT
402,MOYEN PETIT,PETIT
403,PETIT,PETIT
405,MOYEN,GRAND
411,SPORTIVE,SPORT
413,MOYEN PETIT,PETIT
418,MOYEN GRAND,GRAND
421,SPORTIVE,SPORT
422,SPORTIVE,SPORT
423,SPORTIVE,SPORT
424,SPORTIVE,SPORT
432,MINI SUV,PETIT
434,SPORT,SPORT
435,SPORT,SPORT
437,SPORT,SPORT
438,SPORT,SPORT
440,SPORT,SPORT
444,SPORTIVE,SPORT
446,SPORT,SPORT
447,SPORTIVE,SPORT
448,SPORTIVE,SPORT
450,GRAND,GRAND
452,PETIT,PETIT
453,MINI,PETIT
455,MOYEN PETIT,PETIT
461,PETIT,PETIT
462,PETIT,PETIT
463,MINI SUV,PETIT
466,LUXE,SPORT
468,LUXE,SPORT
469,LUXE,SPORT
472,LUXE,SPORT
473,MINI SUV,PETIT
475,SPORTIVE,SPORT
476,SPORT,SPORT
479,GRAND,GRAND
481,MOYEN GRAND,GRAND
486,GRAND SUV,GRAND
488,GRAND,GRAND
489,GRAND SUV,GRAND
490,GRAND,GRAND
491,SPORT,SPORT
493,SPORT,SPORT
494,MOYEN,GRAND
495,SPORTIVE,SPORT
496,GRAND SUV,GRAND
497,SPORTIVE,SPORT
498,MOYEN,GRAND
499,MINI SUV,PETIT
500,MOYEN GRAND,GRAND
501,MOYEN GRAND,GRAND
502,MOYEN,GRAND
503,MINI,PETIT
504,MOYEN PETIT,PETIT
505,MINI MONOSPACE,PETIT
506,MINI SUV,PETIT
511,GRAND SUV,GRAND
512,GRAND SUV,GRAND
513,GRAND MONOSPCE,GRAND
514,GRAND,GRAND
515,GRAND,GRAND
520,MOYEN PETIT,PETIT
524,MOYEN GRAND,GRAND
531,MINI,PETIT
533,PETIT,PETIT
534,MINI MONOSPACE,PETIT
535,MOYEN GRAND,GRAND
540,PETIT,PETIT
541,MOYEN,GRAND
544,MINI SUV,PETIT
547,MOYEN,GRAND
552,GRAND SUV,GRAND
554,MOYEN PETIT,PETIT
555,PETIT,PETIT
556,SPORTIVE,SPORT
557,MINI,PETIT
558,MINI SUV,PETIT
559,MINI MONOSPACE,PETIT
560,MINI MONOSPACE,PETIT
561,MINI SUV,PETIT
563,PETIT,PETIT
564,MINI MONOSPACE,PETIT
567,MINI MONOSPACE,PETIT
568,UTILITAIRE,UTILITAIRE
569,SPORTIVE,SPORT
570,SPORTIVE,SPORT
574,MOYEN PETIT,PETIT
575,GRAND SUV,GRAND
576,SPORT,SPORT
577,SPORT,SPORT
580,MOYEN PETIT,PETIT
585,SPORT,SPORT
592,SPORT,SPORT
594,SPORT,SPORT
601,MINI MONOSPACE,PETIT
604,MINI SUV,PETIT
607,GRAND MONOSPCE,GRAND
609,GRAND SUV,GRAND
610,GRAND MONOSPCE,GRAND
611,GRAND MONOSPCE,GRAND
612,MINI MONOSPACE,PETIT
614,GRAND SUV,GRAND
620,MINI MONOSPACE,PETIT
621,MINI SUV,PETIT
624,MINI SUV,PETIT
625,SPORTIVE,SPORT
627,MINI MONOSPACE,PETIT
628,MINI SUV,PETIT
629,SPORTIVE,SPORT
630,MOYEN GRAND,GRAND
631,PETIT,PETIT
632,SPORT,SPORT
633,MINI MONOSPACE,PETIT
634,MINI MONOSPACE,PETIT
635,MINI SUV,PETIT
636,GRAND SUV,GRAND
637,MINI SUV,PETIT
639,SPORTIVE,SPORT
640,MOYEN GRAND,GRAND
643,GRAND SUV,GRAND
648,GRAND SUV,GRAND
649,LUXE,SPORT
650,MOYEN GRAND,GRAND
651,MOYEN,GRAND
652,GRAND,GRAND
653,GRAND,GRAND
654,GRAND,GRAND
656,SPORTIVE,SPORT
658,SPORT,SPORT
660,MINI SUV,PETIT
662,GRAND SUV,GRAND
663,MINI SUV,PETIT
664,MOYEN PETIT,PETIT
667,MOYEN PETIT,PETIT
668,MOYEN PETIT,PETIT
669,MOYEN,GRAND
670,MOYEN,GRAND
671,GRAND,GRAND
672,MINI,PETIT
674,MOYEN PETIT,PETIT
675,MOYEN PETIT,PETIT
676,MOYEN PETIT,PETIT
677,MOYEN PETIT,PETIT
678,MOYEN PETIT,PETIT
682,PETIT,PETIT
685,PETIT,PETIT
688,SPORT,SPORT
689,SPORT,SPORT
692,SPORT,SPORT
697,MOYEN GRAND,GRAND
699,MOYEN GRAND,GRAND
701,MOYEN GRAND,GRAND
702,GRAND,GRAND
703,SPORTIVE,SPORT
704,MINI,PETIT
706,SPORT,SPORT
707,SPORT,SPORT
708,SPORT,SPORT
709,SPORT,SPORT
712,MINI SUV,PETIT
714,MINI SUV,PETIT
717,SPORT,SPORT
721,SPORT,SPORT
722,SPORT,SPORT
723,LUXE,SPORT
725,SPORT,SPORT
726,SPORTIVE,SPORT
729,MINI MONOSPACE,PETIT
731,MINI MONOSPACE,PETIT
732,GRAND MONOSPCE,GRAND
733,GRAND SUV,GRAND
735,SPORTIVE,SPORT
736,GRAND SUV,GRAND
737,MOYEN,GRAND
738,MOYEN GRAND,GRAND
739,PETIT,PETIT
756,GRAND SUV,GRAND
757,GRAND MONOSPCE,GRAND
761,SPORTIVE,SPORT
762,SPORTIVE,SPORT
763,MOYEN PETIT,PETIT
764,MOYEN,GRAND
765,SPORTIVE,SPORT
766,MOYEN,GRAND
767,GRAND MONOSPCE,GRAND
769,MINI SUV,PETIT
770,MINI SUV,PETIT
771,MINI SUV,PETIT
772,MINI MONOSPACE,PETIT
773,GRAND MONOSPCE,GRAND
775,SPORT,SPORT
776,SPORT,SPORT
779,SPORTIVE,SPORT
781,SPORTIVE,SPORT
786,GRAND MONOSPCE,GRAND
788,GRAND SUV,GRAND
789,MINI MONOSPACE,PETIT
793,MINI MONOSPACE,PETIT
797,MINI SUV,PETIT
801,MINI MONOSPACE,PETIT
802,SPORTIVE,SPORT
810,SPORTIVE,SPORT
811,PETIT,PETIT
816,SPORTIVE,SPORT
817,GRAND MONOSPCE,GRAND
819,SPORT,SPORT
821,SPORT,SPORT
822,SPORT,SPORT
823,SPORT,SPORT
832,LUXE,SPORT
833,LUXE,SPORT
834,LUXE,SPORT
835,LUXE,SPORT
853,MOYEN GRAND,GRAND
855,PETIT,PETIT
858,GRAND SUV,GRAND
866,MINI MONOSPACE,PETIT
873,PETIT,PETIT
874,MINI MONOSPACE,PETIT
875,MINI,PETIT
876,MINI SUV,PETIT
878,MINI SUV,PETIT
879,MINI SUV,PETIT
880,GRAND MONOSPCE,GRAND
881,PETIT,PETIT
882,MINI SUV,PETIT
883,SPORTIVE,SPORT
884,GRAND SUV,GRAND
886,MINI SUV,PETIT
887,MOYEN PETIT,PETIT
888,MOYEN PETIT,PETIT
895,GRAND SUV,GRAND
896,MINI MONOSPACE,PETIT
897,MOYEN GRAND,GRAND
901,GRAND SUV,GRAND
902,MINI MONOSPACE,PETIT
904,SPORTIVE,SPORT
906,PETIT,PETIT
907,SPORTIVE,SPORT
909,MINI MONOSPACE,PETIT
910,SPORTIVE,SPORT
911,SPORTIVE,SPORT
912,SPORTIVE,SPORT
913,SPORTIVE,SPORT
919,SPORTIVE,SPORT
920,MINI SUV,PETIT
929,GRAND MONOSPCE,GRAND
930,SPORTIVE,SPORT
933,SPORTIVE,SPORT
941,MOYEN PETIT,PETIT
942,MOYEN GRAND,GRAND
944,GRAND SUV,GRAND
945,MINI SUV,PETIT
946,MINI,PETIT
948,MOYEN PETIT,PETIT
951,MINI MONOSPACE,PETIT
952,MOYEN GRAND,GRAND
953,MOYEN,GRAND
954,MINI SUV,PETIT
955,GRAND SUV,GRAND
956,MINI SUV,PETIT
957,MINI SUV,PETIT
959,GRAND,GRAND
960,SPORT,SPORT
961,MOYEN GRAND,GRAND
962,MOYEN GRAND,GRAND
964,MINI SUV,PETIT
965,MOYEN GRAND,GRAND
966,MINI MONOSPACE,PETIT
967,MOYEN PETIT,PETIT
968,SPORT,SPORT
969,SPORTIVE,SPORT
971,PETIT,PETIT
973,PETIT,PETIT
974,GRAND SUV,GRAND
976,MINI MONOSPACE,PETIT
977,GRAND MONOSPCE,GRAND
978,UTILITAIRE,UTILITAIRE
